
Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.7954,0.8592,0
1,0.9246,0.8987,0
2,0.9441,0.9115,1
3,0.9509,0.9210,1
4,0.9540,0.9238,1
5,0.9590,0.9338,1
6,0.9611,0.9282,2
7,0.9627,0.9304,2
8,0.9677,0.9366,2
9,0.9661,0.9416,2
10,0.9706,0.9349,3
11,0.9677,0.9438,3
12,0.9722,0.9449,3
13,0.9735,0.9427,3
14,0.9745,0.9382,4
15,0.9740,0.9460,4
16,0.9769,0.9427,4
17,0.9766,0.9477,4
18,0.9779,0.9432,5
19,0.9769,0.9449,5
20,0.9772,0.9444,5
21,0.9779,0.9494,5
22,0.9779,0.9471,6
23,0.9785,0.9482,6
24,0.9793,0.9510,6
25,0.9803,0.9471,7
26,0.9808,0.9449,7
27,0.9814,0.9471,7
28,0.9819,0.9466,7
29,0.9832,0.9460,7

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.7954,0.8592,0
1,0.9246,0.8987,1
2,0.9441,0.9115,1
3,0.9509,0.9210,1
4,0.9540,0.9238,2
5,0.9590,0.9338,2
6,0.9611,0.9282,3
7,0.9627,0.9304,3
8,0.9677,0.9366,3
9,0.9661,0.9416,4
10,0.9706,0.9349,4
11,0.9677,0.9438,4
12,0.9722,0.9449,4
13,0.9735,0.9427,5
14,0.9745,0.9382,5
15,0.9740,0.9460,5
16,0.9769,0.9427,6
17,0.9766,0.9477,6
18,0.9779,0.9432,6
19,0.9769,0.9449,6
20,0.9772,0.9444,7
21,0.9779,0.9494,7
22,0.9779,0.9471,7
23,0.9785,0.9482,8
24,0.9793,0.9510,8
25,0.9803,0.9471,8
26,0.9808,0.9449,9
27,0.9814,0.9471,9
28,0.9819,0.9466,9
29,0.9832,0.9460,9

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.7954,0.8592,0
1,0.9246,0.8987,0
2,0.9441,0.9115,1
3,0.9509,0.9210,1
4,0.9540,0.9238,1
5,0.9590,0.9338,2
6,0.9611,0.9282,2
7,0.9627,0.9304,2
8,0.9677,0.9366,3
9,0.9661,0.9416,3
10,0.9706,0.9349,3
11,0.9677,0.9438,4
12,0.9722,0.9449,4
13,0.9735,0.9427,4
14,0.9745,0.9382,5
15,0.9740,0.9460,5
16,0.9769,0.9427,5
17,0.9766,0.9477,6
18,0.9779,0.9432,6
19,0.9769,0.9449,6
20,0.9772,0.9444,7
21,0.9779,0.9494,7
22,0.9779,0.9471,8
23,0.9785,0.9482,8
24,0.9793,0.9510,8
25,0.9803,0.9471,9
26,0.9808,0.9449,9
27,0.9814,0.9471,9
28,0.9819,0.9466,10
29,0.9832,0.9460,10

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.7954,0.8592,0
1,0.9246,0.8987,1
2,0.9441,0.9115,1
3,0.9509,0.9210,1
4,0.9540,0.9238,2
5,0.9590,0.9338,2
6,0.9611,0.9282,2
7,0.9627,0.9304,3
8,0.9677,0.9366,3
9,0.9661,0.9416,3
10,0.9706,0.9349,4
11,0.9677,0.9438,4
12,0.9722,0.9449,5
13,0.9735,0.9427,5
14,0.9745,0.9382,5
15,0.9740,0.9460,6
16,0.9769,0.9427,6
17,0.9766,0.9477,7
18,0.9779,0.9432,7
19,0.9769,0.9449,7
20,0.9772,0.9444,8
21,0.9779,0.9494,8
22,0.9779,0.9471,8
23,0.9785,0.9482,9
24,0.9793,0.9510,9
25,0.9803,0.9471,9
26,0.9808,0.9449,9
27,0.9814,0.9471,10
28,0.9819,0.9466,10
29,0.9832,0.9460,10

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.1124,0.0991,0
1,0.0977,0.0991,0
2,0.0987,0.0991,0
3,0.0980,0.0991,1
4,0.0987,0.0991,1
5,0.0974,0.0991,1
6,0.0987,0.0991,1
7,0.0980,0.0991,2
8,0.0985,0.0991,2
9,0.0985,0.0991,2
10,0.0982,0.0991,2
11,0.0985,0.0991,3
12,0.0982,0.0991,3
13,0.0980,0.0991,3
14,0.0987,0.0991,4
15,0.0982,0.0991,4
16,0.0982,0.0991,4
17,0.0985,0.0991,4
18,0.0982,0.0991,5
19,0.0987,0.0991,5
20,0.0982,0.0991,5
21,0.0980,0.0991,5
22,0.0985,0.0991,6
23,0.0982,0.0991,6
24,0.0985,0.0991,6
25,0.0980,0.0991,6
26,0.0985,0.0991,7
27,0.0985,0.0991,7
28,0.0985,0.0991,7
29,0.0982,0.0991,7

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.1124,0.0991,0
1,0.0977,0.0991,0
2,0.0987,0.0991,1
3,0.0980,0.0991,1
4,0.0987,0.0991,1
5,0.0974,0.0991,1
6,0.0987,0.0991,2
7,0.0980,0.0991,2
8,0.0985,0.0991,2
9,0.0985,0.0991,3
10,0.0982,0.0991,3
11,0.0985,0.0991,3
12,0.0982,0.0991,3
13,0.0980,0.0991,4
14,0.0987,0.0991,4
15,0.0982,0.0991,4
16,0.0982,0.0991,5
17,0.0985,0.0991,5
18,0.0982,0.0991,5
19,0.0987,0.0991,5
20,0.0982,0.0991,6
21,0.0980,0.0991,6
22,0.0985,0.0991,6
23,0.0982,0.0991,6
24,0.0985,0.0991,7
25,0.0980,0.0991,7
26,0.0985,0.0991,7
27,0.0985,0.0991,7
28,0.0985,0.0991,8
29,0.0982,0.0991,8

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.1124,0.0991,0
1,0.0977,0.0991,0
2,0.0987,0.0991,1
3,0.0980,0.0991,1
4,0.0987,0.0991,1
5,0.0974,0.0991,1
6,0.0987,0.0991,2
7,0.0980,0.0991,2
8,0.0985,0.0991,2
